Location
"Kabul,Kabul,Afghanistan"
"Nijkerk,Nijkerk,Gelderland,Netherlands"
"Nijmegen,Nijmegen,Gelderland,Netherlands"
"Nunspeet,Nunspeet,Gelderland,Netherlands"
"Putten,Putten,Gelderland,Netherlands"
"Renkum,Renkum,Gelderland,Netherlands"
"Rheden,Rheden,Gelderland,Netherlands"
"Scherpenzeel,Scherpenzeel,Gelderland,Netherlands"
"Tiel,Tiel,Gelderland,Netherlands"
"Wageningen,Wageningen,Gelderland,Netherlands"
"Wijchen,Wijchen,Gelderland,Netherlands"
"Winterswijk,Winterswijk,Gelderland,Netherlands"
"Zaltbommel,Zaltbommel,Gelderland,Netherlands"
"Zevenaar,Zevenaar,Gelderland,Netherlands"
"Zutphen,Zutphen,Gelderland,Netherlands"
"Appingedam,Appingedam,Groningen,Netherlands"
"Bedum,Groningen,Netherlands"
"Delfzijl,Delfzijl,Groningen,Netherlands"
"Haren,Haren,Groningen,Netherlands"
"Leek,Leek,Groningen,Netherlands"
"Stadskanaal,Stadskanaal,Groningen,Netherlands"
"Veendam,Veendam,Groningen,Netherlands"
"Brunssum,Brunssum,Limburg,Netherlands"
"Heerlen,Heerlen,Limburg,Netherlands"
"Kerkrade,Kerkrade,Limburg,Netherlands"
"Landgraaf,Landgraaf,Limburg,Netherlands"
"Maastricht,Maastricht,Limburg,Netherlands"
"Nederweert,Nederweert,Limburg,Netherlands"
"Roermond,Roermond,Limburg,Netherlands"
"Simpelveld,Simpelveld,Limburg,Netherlands"
"Stein,Stein,Limburg,Netherlands"
"Venlo,Venlo,Limburg,Netherlands"
"Venray,Venray,Limburg,Netherlands"
"Weert,Weert,Limburg,Netherlands"
"Baarle-Nassau,Baarle-Nassau,North Brabant,Netherlands"
"Best,Best,North Brabant,Netherlands"
"Bladel,Bladel,North Brabant,Netherlands"
"Boxmeer,Boxmeer,North Brabant,Netherlands"
"Boxtel,Boxtel,North Brabant,Netherlands"
"Breda,Breda,North Brabant,Netherlands"
"Budel,North Brabant,Netherlands"
"Deurne,Deurne,North Brabant,Netherlands"
"Dongen,Dongen,North Brabant,Netherlands"
"Eersel,Eersel,North Brabant,Netherlands"
"Eindhoven,Eindhoven,North Brabant,Netherlands"
"Etten-Leur,Etten-Leur,North Brabant,Netherlands"
"Goirle,Goirle,North Brabant,Netherlands"
"Grave,Grave,North Brabant,Netherlands"
"Helmond,Helmond,North Brabant,Netherlands"
"Moerdijk,Moerdijk,North Brabant,Netherlands"
"Oirschot,Oirschot,North Brabant,Netherlands"
"Oisterwijk,Oisterwijk,North Brabant,Netherlands"
"Oosterhout,Oosterhout,North Brabant,Netherlands"
"Oss,Oss,North Brabant,Netherlands"
"Roosendaal,Roosendaal,North Brabant,Netherlands"
"Someren,Someren,North Brabant,Netherlands"
"Tilburg,Tilburg,North Brabant,Netherlands"
"Uden,Uden,North Brabant,Netherlands"
"Valkenswaard,Valkenswaard,North Brabant,Netherlands"
"Veldhoven,Veldhoven,North Brabant,Netherlands"
"Vught,Vught,North Brabant,Netherlands"
"Waalre,Waalre,North Brabant,Netherlands"
"Waalwijk,Waalwijk,North Brabant,Netherlands"
"Zundert,Zundert,North Brabant,Netherlands"
"Aalsmeer,Aalsmeer,North Holland,Netherlands"
"Akersloot,North Holland,Netherlands"
"Alkmaar,Alkmaar,North Holland,Netherlands"
"Amstelveen,Amstelveen,North Holland,Netherlands"
"Bergen,Bergen,North Holland,Netherlands"
"Beverwijk,Beverwijk,North Holland,Netherlands"
"Blaricum,Blaricum,North Holland,Netherlands"
"Bloemendaal,Bloemendaal,North Holland,Netherlands"
"Castricum,Castricum,North Holland,Netherlands"
"Den Helder,Den Helder,North Holland,Netherlands"
"Diemen,Diemen,North Holland,Netherlands"
"Enkhuizen,Enkhuizen,North Holland,Netherlands"
"Haarlem,Haarlem,North Holland,Netherlands"
"Heemskerk,Heemskerk,North Holland,Netherlands"
"Heemstede,Heemstede,North Holland,Netherlands"
"Heerhugowaard,Heerhugowaard,North Holland,Netherlands"
"Heiloo,Heiloo,North Holland,Netherlands"
"Hilversum,Hilversum,North Holland,Netherlands"
"Hoorn,Hoorn,North Holland,Netherlands"
"Huizen,Huizen,North Holland,Netherlands"
"Landsmeer,Landsmeer,North Holland,Netherlands"
"Laren,Laren,North Holland,Netherlands"
"Medemblik,Medemblik,North Holland,Netherlands"
"Oostzaan,Oostzaan,North Holland,Netherlands"
"Purmerend,Purmerend,North Holland,Netherlands"
"Uitgeest,Uitgeest,North Holland,Netherlands"
"Weesp,Weesp,North Holland,Netherlands"
"Zandvoort,Zandvoort,North Holland,Netherlands"
"Almelo,Almelo,Overijssel,Netherlands"
"Borne,Borne,Overijssel,Netherlands"
"Dalfsen,Dalfsen,Overijssel,Netherlands"
"Dedemsvaart,Overijssel,Netherlands"
"Deventer,Deventer,Overijssel,Netherlands"
"Enschede,Enschede,Overijssel,Netherlands"
"Haaksbergen,Haaksbergen,Overijssel,Netherlands"
"Hardenberg,Hardenberg,Overijssel,Netherlands"
"Hengelo,Hengelo,Overijssel,Netherlands"
"Kampen,Kampen,Overijssel,Netherlands"
"Losser,Losser,Overijssel,Netherlands"
"Oldenzaal,Oldenzaal,Overijssel,Netherlands"
"Ommen,Ommen,Overijssel,Netherlands"
"Raalte,Raalte,Overijssel,Netherlands"
"Staphorst,Staphorst,Overijssel,Netherlands"
"Tubbergen,Tubbergen,Overijssel,Netherlands"
"Zwolle,Zwolle,Overijssel,Netherlands"
"Amerongen,Utrecht,Netherlands"
"Amersfoort,Amersfoort,Utrecht,Netherlands"
"Baarn,Baarn,Utrecht,Netherlands"
"Bunnik,Bunnik,Utrecht,Netherlands"
"De Bilt,De Bilt,Utrecht,Netherlands"
"Houten,Houten,Utrecht,Netherlands"
"IJsselstein,IJsselstein,Utrecht,Netherlands"
"Leusden,Leusden,Utrecht,Netherlands"
"Lopik,Lopik,Utrecht,Netherlands"
"Montfoort,Montfoort,Utrecht,Netherlands"
"Nieuwegein,Nieuwegein,Utrecht,Netherlands"
"Oudewater,Oudewater,Utrecht,Netherlands"
"Rhenen,Rhenen,Utrecht,Netherlands"
"Soest,Soest,Utrecht,Netherlands"
"Uithoorn,Uithoorn,North Holland,Netherlands"
"Veenendaal,Veenendaal,Utrecht,Netherlands"
"Wijk bij Duurstede,Wijk bij Duurstede,Utrecht,Netherlands"
"Woerden,Woerden,Utrecht,Netherlands"
"Woudenberg,Woudenberg,Utrecht,Netherlands"
"Zeist,Zeist,Utrecht,Netherlands"
"Arnemuiden,Zeeland,Netherlands"
"Goes,Goes,Zeeland,Netherlands"
"Kapelle,Kapelle,Zeeland,Netherlands"
"Middelburg,Middelburg,Zeeland,Netherlands"
"Sluis,Sluis,Zeeland,Netherlands"
"Terneuzen,Terneuzen,Zeeland,Netherlands"
"Alblasserdam,Alblasserdam,South Holland,Netherlands"
"Alphen aan den Rijn,Alphen aan den Rijn,South Holland,Netherlands"
"Arkel,South Holland,Netherlands"
"Barendrecht,Barendrecht,South Holland,Netherlands"
"Bergambacht,Bergambacht,South Holland,Netherlands"
"Brielle,Brielle,South Holland,Netherlands"
"Capelle aan den IJssel,Capelle aan den IJssel,South Holland,Netherlands"
"Delft,Delft,South Holland,Netherlands"
"Dordrecht,Dordrecht,South Holland,Netherlands"
"Gouda,Gouda,South Holland,Netherlands"
"Hellevoetsluis,Hellevoetsluis,South Holland,Netherlands"
"Hendrik-Ido-Ambacht,Hendrik-Ido-Ambacht,South Holland,Netherlands"
"Hillegom,Hillegom,South Holland,Netherlands"
"Krimpen aan den IJssel,Krimpen aan den IJssel,South Holland,Netherlands"
"Leiden,Leiden,South Holland,Netherlands"
"Leiderdorp,Leiderdorp,South Holland,Netherlands"
"Lisse,Lisse,South Holland,Netherlands"
"Maassluis,Maassluis,South Holland,Netherlands"
"Noordwijkerhout,Noordwijkerhout,South Holland,Netherlands"
"Oegstgeest,Oegstgeest,South Holland,Netherlands"
"Oud-Beijerland,Oud-Beijerland,South Holland,Netherlands"
"Papendrecht,Papendrecht,South Holland,Netherlands"
"Ridderkerk,Ridderkerk,South Holland,Netherlands"
"Rijswijk,Rijswijk,South Holland,Netherlands"
"The Hague,The Hague,South Holland,Netherlands"
"Schiedam,Schiedam,South Holland,Netherlands"
"Schoonhoven,Schoonhoven,South Holland,Netherlands"
"Sliedrecht,Sliedrecht,South Holland,Netherlands"
"Spijkenisse,Spijkenisse,South Holland,Netherlands"
"Vlaardingen,Vlaardingen,South Holland,Netherlands"
"Voorschoten,Voorschoten,South Holland,Netherlands"
"Waddinxveen,Waddinxveen,South Holland,Netherlands"
"Wassenaar,Wassenaar,South Holland,Netherlands"
"Zoetermeer,Zoetermeer,South Holland,Netherlands"
"Zwijndrecht,Zwijndrecht,South Holland,Netherlands"
"Askim,Viken,Norway"
"Moss,Moss,Viken,Norway"
"Eidsvoll,Eidsvoll,Akershus,Norway"
"Oslo,Oslo,Norway"
"Elverum,Innlandet,Norway"
"Trysil,Trysil,Hedmark,Norway"
"Kongsberg,Kongsberg,Viken,Norway"
"Holmestrand,Vestfold og Telemark,Norway"
"Horten,Horten,Vestfold og Telemark,Norway"
"Sandefjord,Sandefjord,Vestfold og Telemark,Norway"
"Arendal,Arendal Municipality,Norway"
"Bygland,Bygland Municipality,Norway"
"Grimstad,Grimstad Municipality,Norway"
"Lillesand,Lillesand Municipality,Norway"
"Risor,Risor Municipality,Norway"
"Tvedestrand,Tvedestrand Municipality,Norway"
"Farsund,Farsund Municipality,Norway"
"Flekkefjord,Flekkefjord Municipality,Norway"
"Kristiansand,Kristiansand Municipality,Norway"
"Kvinesdal,Kvinesdal Municipality,Norway"
"Lyngdal,Lyngdal Municipality,Norway"
"Mandal,Lindesnes Municipality,Norway"
"Vennesla,Vennesla Municipality,Norway"
"Bryne,Rogaland,Norway"
"Bergen,Vestland,Norway"
"Bomlo,Bomlo,Vestland,Norway"
"Alesund,More og Romsdal,Norway"
"Molde,Molde,More og Romsdal,Norway"
"Sykkylven,Sykkylven,More og Romsdal,Norway"
"Bjugn Municipality,Norway"
"Melhus,Trondelag,Norway"
"Ballangen,Nordland,Norway"
"Bardu Municipality,Troms og Finnmark fylke,Norway"
"Biratnagar,Eastern Development Region,Nepal"
"Kathmandu,Central Development Region,Nepal"
"Auckland,Auckland,New Zealand"
"Gisborne,Gisborne,New Zealand"
"Hamilton,Waikato,New Zealand"
"Hastings,Hawke's Bay,New Zealand"
"Kaikohe,Northland,New Zealand"
"Levin,Manawatu-Wanganui,New Zealand"
"Lower Hutt,Wellington,New Zealand"
"New Plymouth,Taranaki,New Zealand"
"Pukekohe Hill,New Zealand"
"Rotorua,Bay of Plenty,New Zealand"
"Ashburton,Canterbury,New Zealand"
"Blenheim,Marlborough,New Zealand"
"Dunedin,Otago,New Zealand"
"Gore,Southland,New Zealand"
"Nelson,Nelson,New Zealand"
"Abbottabad,Khyber Pakhtunkhwa,Pakistan"
"Islamabad,Islamabad Capital Territory,Pakistan"
"Karachi,Sindh,Pakistan"
"Quetta,Balochistan,Pakistan"
"Aguadulce District,Cocle Province,Panama"
"Changuinola District,Bocas del Toro Province,Panama"
"Colon,Colon Province,Panama"
"David,Chiriqui Province,Panama"
"La Chorrera,Panama,Panama"
"Las Tablas,Los Santos Province,Panama"
"Chimbote,Ancash,Peru"
"Huaraz,Huaraz,Ancash,Peru"
"Arequipa,Arequipa,Arequipa,Peru"
"Ayacucho,Ayacucho,Peru"
"Cajamarca,Cajamarca,Cajamarca,Peru"
"Huancayo,Huancayo,Junin,Peru"
"Salaverry,La Libertad,Peru"
"Paita District,Piura,Peru"
"Juliaca,Puno,Peru"
"Tarapoto,San Martin,Peru"
"Butuan City,Caraga,Philippines"
"Legazpi City,Bicol,Philippines"
"Baguio,Cordillera Administrative Region,Philippines"
"Batangas,Batangas,Calabarzon,Philippines"
"Rosario,Calabarzon,Philippines"
"Mariveles,Central Luzon,Philippines"
"Valenzuela,Metro Manila,Philippines"
"Tuguegarao City,Cagayan Valley,Philippines"
"Cebu City,Central Visayas,Philippines"
"Davao City,Davao Region,Philippines"
"Iloilo City,Western Visayas,Philippines"
"Laoag City,Ilocos Region,Philippines"
"Iligan City,Northern Mindanao,Philippines"
"Tacloban City,Eastern Visayas,Philippines"
"Cotabato City,Region XII,Philippines"
"San Jose,MIMAROPA,Philippines"
"Koror,Palau"
"Boroko,National Capital District,Papua New Guinea"
"Bielawa,Lower Silesian Voivodeship,Poland"
"Rawicz,Greater Poland Voivodeship,Poland"
"Aleksandrow Kujawski,Kuyavian-Pomeranian Voivodeship,Poland"
"Babimost,Lubusz Voivodeship,Poland"
"Krasnik,Lublin Voivodeship,Poland"
"Aleksandrow Lodzki,Lodz Voivodeship,Poland"
"Sochaczew,Masovian Voivodeship,Poland"
"Biskupice Radlowskie,Lesser Poland Voivodeship,Poland"
"Brzeg,Opole Voivodeship,Poland"
"Augustow,Podlaskie Voivodeship,Poland"
"Brzozow,Podkarpackie Voivodeship,Poland"
"Chojnice,Pomeranian Voivodeship,Poland"
"Slawno,West Pomeranian Voivodeship,Poland"
"Bilcza,Swietokrzyskie Voivodeship,Poland"
"Bielsko-Biala,Silesian Voivodeship,Poland"
"Bartoszyce,Warmian-Masurian Voivodeship,Poland"
"Aibonito,Aibonito,Puerto Rico"
"Catano,Catano,Puerto Rico"
"Cayey,Cayey,Puerto Rico"
"Ceiba,Ceiba,Puerto Rico"
"Culebra,Culebra,Puerto Rico"
"Fajardo,Fajardo,Puerto Rico"
"Guanica,Guanica,Puerto Rico"
"Guayama,Guayama,Puerto Rico"
"Hormigueros,Hormigueros,Puerto Rico"
"Humacao,Humacao,Puerto Rico"
"Las Piedras,Las Piedras,Puerto Rico"
"Luquillo,Luquillo,Puerto Rico"
"Manati,Manati,Puerto Rico"
"Naguabo,Naguabo,Puerto Rico"
"Agueda,Aveiro District,Portugal"
"Beja,Beja District,Portugal"
"Braga,Braga,Portugal"
"Pombal,Braganca District,Portugal"
"Castelo Branco,Castelo Branco District,Portugal"
"Coimbra,Coimbra District,Portugal"
"Evora,Evora District,Portugal"
"Albufeira,Faro District,Portugal"
"Guarda,Guarda District,Portugal"
"Leiria,Leiria District,Portugal"
"Abrunheira,Lisbon,Portugal"
"Portalegre,Portalegre District,Portugal"
"Carvalhos,Porto District,Portugal"
"Fatima,Santarem District,Portugal"
"Almada,Setubal,Portugal"
"Viana do Castelo,Viana do Castelo District,Portugal"
"Viseu,Viseu District,Portugal"
"Horta,Azores,Portugal"
"Funchal,Madeira,Portugal"
"Asuncion,Paraguay"
"Encarnacion,Itapua Department,Paraguay"
"Pape'ete,French Polynesia"
"Doha,Doha,Qatar"
"Le Port,Saint-Paul,Reunion"
"Saint Denis,Saint-Denis,Reunion"
"Alba Iulia,Alba County,Romania"
"Campulung,Arges County,Romania"
"Arad,Arad County,Romania"
"Bucharest,Bucharest,Romania"
"Otopeni,Ilfov County,Romania"
"Bacau,Bacau County,Romania"
"Oradea,Bihor County,Romania"
"Bistrita,Bistrita-Nasaud County,Romania"
"Braila,Braila County,Romania"
"Botosani,Botosani County,Romania"
"Brasov,Brasov County,Romania"
"Buzau,Buzau County,Romania"
"Cluj-Napoca,Cluj County,Romania"
"Calarasi,Calarasi County,Romania"
"Baile Herculane,Caras-Severin County,Romania"
"Cernavoda,Constanta County,Romania"
"Sfantu Gheorghe,Covasna County,Romania"
"Targoviste,Dambovita County,Romania"
"Craiova,Dolj County,Romania"
"Targu Jiu,Gorj County,Romania"
"Galati,Galati,Romania"
"Giurgiu,Giurgiu County,Romania"
"Deva,Hunedoara County,Romania"
"Cristuru Secuiesc,Harghita County,Romania"
"Slobozia,Ialomita County,Romania"
"Iasi,Iasi County,Romania"
"Drobeta-Turnu Severin,Mehedinti County,Romania"
"Baia Mare,Maramures County,Romania"
"Sighisoara,Mures County,Romania"
"Piatra Neamt,Neamt County,Romania"
"Corabia,Olt County,Romania"
"Ploiesti,Prahova,Romania"
"Sibiu,Sibiu,Romania"
"Carei,Satu Mare County,Romania"
"Falticeni,Suceava County,Romania"
"Tulcea,Tulcea County,Romania"
"Lugoj,Timis County,Romania"
"Alexandria,Teleorman County,Romania"
"Ramnicu Valcea,Valcea County,Romania"
"Focsani,Vrancea County,Romania"
"Barlad,Vaslui County,Romania"
"Maykop,Adygea Republic,Russia"
"Barnaul,Altai Krai,Russia"
"Blagoveshchensk,Amur Oblast,Russia"
"Arkhangelsk,Arkhangelsk Oblast,Russia"
"Astrakhan,Astrakhan Oblast,Russia"
"Neftekamsk,Republic of Bashkortostan,Russia"
"Belgorod,Belgorod Oblast,Russia"
"Bryansk,Bryansk Oblast,Russia"
"Ulan-Ude,Buryatia,Russia"
"Argayash,Chelyabinsk Oblast,Russia"
"Makhachkala,Republic of Dagestan,Russia"
"Angarsk,Irkutsk Oblast,Russia"
"Ivanovo,Ivanovo Oblast,Russia"
"Petropavlovsk-Kamchatskiy,Kamchatka Krai,Russia"
"Nalchik,Kabardino-Balkarian Republic,Russia"
"Cherkessk,Karachay-Cherkessia,Russia"
"Gelendzhik,Krasnodar Krai,Russia"
"Kemerovo,Kemerovo Oblast,Russia"
"Kaliningrad,Kaliningrad Oblast,Russia"
"Kurgan,Kurgan Oblast,Russia"
"Khabarovsk,Khabarovsk Krai,Russia"
"Khanty-Mansiysk,Khanty-Mansi Autonomous Okrug,Russia"
"Kirov,Kirov Oblast,Russia"
"Abakan,Republic of Khakassia,Russia"
"Elista,Republic of Kalmykia,Russia"
"Kaluga,Kaluga Oblast,Russia"
"Inta,Komi Republic,Russia"
"Kostroma,Kostroma Oblast,Russia"
"Petrozavodsk,Republic of Karelia,Russia"
"Kurchatov,Kursk Oblast,Russia"
"Achinsk,Krasnoyarsk Krai,Russia"
"Gatchina,Leningrad Oblast,Russia"
"Lipetsk,Lipetsk Oblast,Russia"
"Magadan,Magadan Oblast,Russia"
"Yoshkar-Ola,Mari El Republic,Russia"
"Saransk,Mordovia Republic,Russia"
"Balashikha,Moscow Oblast,Russia"
"Moscow,Moscow,Russia"
"Apatity,Murmansk Oblast,Russia"
"Veliky Novgorod,Novgorod Oblast,Russia"
"Arzamas,Nizhny Novgorod Oblast,Russia"
"Berdsk,Novosibirsk Oblast,Russia"
"Omsk,Omsk Oblast,Russia"
"Orenburg,Orenburg Oblast,Russia"
"Oryol,Oryol Oblast,Russia"
"Berezniki,Perm Krai,Russia"
"Penza,Penza Oblast,Russia"
"Arsenyev,Primorsky Krai,Russia"
"Ostrov,Pskov Oblast,Russia"
"Novocherkassk,Rostov Oblast,Russia"
"Ryazan,Ryazan Oblast,Russia"
"Yakutsk,Sakha Republic,Russia"
"Kholmsk,Sakhalin Oblast,Russia"
"Novokuybyshevsk,Samara Oblast,Russia"
"Balakovo,Saratov Oblast,Russia"
"Vladikavkaz,North Ossetia‚ÄìAlania Republic,Russia"
"Smolensk,Smolensk Oblast,Russia"
"Saint Petersburg,Saint Petersburg,Russia"
"Essentuki,Stavropol Krai,Russia"
"Artemovskiy,Sverdlovsk Oblast,Russia"
"Almetyevsk,Republic of Tatarstan,Russia"
"Michurinsk,Tambov Oblast,Russia"
"Tomsk,Tomsk Oblast,Russia"
"Tula,Tula Oblast,Russia"
"Tver,Tver Oblast,Russia"
"Tyumen,Tyumen Oblast,Russia"
"Glazov,Udmurt Republic,Russia"
"Dimitrovgrad,Ulyanovsk Oblast,Russia"
"Volgograd,Volgograd Oblast,Russia"
"Kolchugino,Vladimir Oblast,Russia"
"Cherepovets,Vologda Oblast,Russia"
"Voronezh,Voronezh Oblast,Russia"
"Nadym,Yamalo-Nenets Autonomous Okrug,Russia"
"Pereslavl-Zalessky,Yaroslavl Oblast,Russia"
"Birobidzhan,Jewish Autonomous Oblast,Russia"
"Kigali,Kigali City,Rwanda"
"Riyadh,Riyadh Province,Saudi Arabia"
"Jeddah,Makkah Province,Saudi Arabia"
"Al Jubail,Eastern Province,Saudi Arabia"
"Honiara,Solomon Islands"
"Antiguo Cuscatlan,La Libertad Department,El Salvador"
"Metapan,Santa Ana Department,El Salvador"
"San Miguel,San Miguel Department,El Salvador"
"San Salvador,San Salvador Department,El Salvador"
"Mogadishu,Banaadir,Somalia"
"Sao Tome,Sao Tome and Principe"
"Paramaribo,Suriname"
"Brezno,Banska Bystrica Region,Slovakia"
"Liptovsky Mikulas,Zilina Region,Slovakia"
"Myjava,Trencin Region,Slovakia"
"Nove Zamky,Nitra Region,Slovakia"
"Piestany,Trnava Region,Slovakia"
"Stropkov,Presov Region,Slovakia"
"Svaty Jur,Bratislava Region,Slovakia"
"Ajdovscina,Slovenia"
"Domzale,Domzale,Slovenia"
"Dravograd,Dravograd,Slovenia"
"Izola,Izola,Slovenia"
"Krsko,Krsko,Slovenia"
"Municipality of Medvode,Ljubljana,Slovenia"
"Municipality of Radece,Lasko,Slovenia"
"Municipality of Sostanj,Velenje,Slovenia"
"Akersberga,Stockholm County,Sweden"
"Alvsjo,Alvsjo,Stockholm County,Sweden"
"Skarholmen,Skarholmen,Stockholm County,Sweden"
"Dorotea,Vasterbotten County,Sweden"
"Arvidsjaur,Norrbotten County,Sweden"
"Balsta,Uppsala County,Sweden"
"Eskilstuna,Sodermanland County,Sweden"
"Finspang,Ostergotland County,Sweden"
"Aneby,Jonkoping County,Sweden"
"Almhult,Kronoberg County,Sweden"
"Borgholm,Kalmar County,Sweden"
"Karlshamn,Blekinge County,Sweden"
"Kristianstad,Skane County,Sweden"
"Falkenberg,Halland County,Sweden"
"Alafors,Vastra Gotaland County,Sweden"
"Arjang,Varmland County,Sweden"
"Hallsberg,Orebro County,Sweden"
"Arboga,Vastmanland County,Sweden"
"Alvdalen,Dalarna County,Sweden"
"Bergsjo,Gavleborg County,Sweden"
"Ange,Vasternorrland County,Sweden"
"Froson,Jamtland County,Sweden"
"Manzini,Manzini,Eswatini"
"Mbabane,Hhohho Region,Eswatini"
"N'Djamena,Chad"
"Lome,Maritime Region,Togo"
"Bangkok,Bangkok,Thailand"
"Hua Hin,Prachuap Khiri Khan,Thailand"
"Nakhon Pathom,Nakhon Pathom,Thailand"
"Mueang Samut Sakhon District,Samut Sakhon,Thailand"
"Mueang Nonthaburi District,Nonthaburi,Thailand"
"Mueang Pathum Thani District,Pathum Thani,Thailand"
"Phra Nakhon Si Ayutthaya District,Phra Nakhon Si Ayutthaya,Thailand"
"Mueang Saraburi District,Saraburi,Thailand"
"Chon Buri District,Chon Buri,Thailand"
"Mueang Chachoengsao District,Chachoengsao,Thailand"
"Mueang Nakhon Ratchasima District,Nakhon Ratchasima,Thailand"
"Mueang Ubon Ratchathani District,Ubon Ratchathani,Thailand"
"Mueang Yasothon District,Yasothon,Thailand"
"Mueang Khon Kaen District,Khon Kaen,Thailand"
"Mueang Chiang Mai District,Chiang Mai,Thailand"
"Mueang Lampang District,Lampang,Thailand"
"Mueang Phrae District,Phrae,Thailand"
"Mueang Chiang Rai District,Chiang Rai,Thailand"
"Mueang Phitsanulok District,Phitsanulok,Thailand"
"Mueang Nakhon Si Thammarat District,Nakhon Si Thammarat,Thailand"
"Mueang Phuket District,Phuket,Thailand"
"Mueang Ranong District,Ranong,Thailand"
"Mueang Songkhla District,Songkhla,Thailand"
"Mueang Trang District,Trang,Thailand"
"Mueang Pattani District,Pattani,Thailand"
"Tambon Yala,Yala,Thailand"
"Dushanbe,Districts of Republican Subordination,Tajikistan"
"Ashgabat,Ashgabat,Turkmenistan"
"Nuku'alofa,Tonga"
"Gabes,Gabes,Tunisia"
"Tunis,Tunis,Tunisia"
"Adana,Adana,Turkey"
"Afyonkarahisar,Afyonkarahisar,Turkey"
"Ankara,Ankara,Turkey"
"Antalya,Antalya,Turkey"
"Aydin,Aydin,Turkey"
"Balikesir,Balikesir,Turkey"
"Bolu,Bolu,Turkey"
"Bursa,Bursa,Turkey"
"Canakkale,Canakkale,Turkey"
"Diyarbakir,Diyarbakir,Turkey"
"Elazig,Elazig,Turkey"
"Erzincan,Erzincan,Turkey"
"Erzurum,Erzurum,Turkey"
"Eskisehir,Eskisehir,Turkey"
"Gaziantep,Gaziantep,Turkey"
"Iskenderun,Hatay,Turkey"
"Isparta,Isparta,Turkey"
"Mersin,Mersin,Turkey"
"Istanbul,Istanbul,Turkey"
"Izmir,Izmir,Turkey"
"Kars,Kars,Turkey"
"Kayseri,Kayseri,Turkey"
"Gebze,Kocaeli,Turkey"
"Konya,Konya,Turkey"
"Kutahya,Kutahya,Turkey"
"Malatya,Malatya,Turkey"
"Manisa,Manisa,Turkey"
"Kahramanmaras,Kahramanmaras,Turkey"
"Mugla,Mugla,Turkey"
"Nigde,Nigde,Turkey"
"Samsun,Samsun,Turkey"
"Sivas,Sivas,Turkey"
"Corlu,Tekirdag,Turkey"
"Tokat,Tokat,Turkey"
"Trabzon,Trabzon,Turkey"
"Van,Van,Turkey"
"Yozgat,Yozgat,Turkey"
"Zonguldak,Zonguldak,Turkey"
"Karaman,Karaman,Turkey"
"Kirikkale,Kirikkale,Turkey"
"Chiayi City,Taiwan Province,Taiwan"
"Zhongli District,Taoyuan City,Taiwan"
"Tainan City,Taiwan"
"Arusha,Arusha Region,Tanzania"
"Dar es Salaam,Tanzania"
"Mwanza,Mwanza Region,Tanzania"
"Kampala,Central Region,Uganda"
"Vinnytsia,Vinnytsia Oblast,Ukraine"
"Lutsk,Volyn Oblast,Ukraine"
"Lysychans'k,Luhansk Oblast,Ukraine"
"Dnipro,Dnipropetrovsk Oblast,Ukraine"
"Donetsk,Donetsk Oblast,Ukraine"
"Zhytomyr,Zhytomyr Oblast,Ukraine"
"Uzhhorod,Zakarpattia Oblast,Ukraine"
"Melitopol',Zaporizhia Oblast,Ukraine"
"Ivano-Frankivsk,Ivano-Frankivsk Oblast,Ukraine"
"Bila Tserkva,Kyiv Oblast,Ukraine"
"Kyiv,Kyiv city,Ukraine"
"Kropyvnytskyi,Kirovohrad Oblast,Ukraine"
"Lviv,Lviv Oblast,Ukraine"
"Mykolaiv,Pustomytivs'kyi district,L'vivs'ka,Ukraine"
"Odesa,Odessa Oblast,Ukraine"
"Kremenchuk,Poltava Oblast,Ukraine"
"Sumy,Sumy Oblast,Ukraine"
"Ternopil,Ternopil Oblast,Ukraine"
"Kharkiv,Kharkiv Oblast,Ukraine"
"Kherson,Kherson Oblast,Ukraine"
"Khmelnytskyi,Khmelnytskyi Oblast,Ukraine"
"Cherkasy,Cherkasy Oblast,Ukraine"
"Chernihiv,Chernihiv Oblast,Ukraine"
"Chernivtsi,Chernivtsi Oblast,Ukraine"
"Montevideo,Uruguay"
"Anchorage,Anchorage,Alaska,United States"
"Anderson,Alaska,United States"
"Bethel,Bethel,Alaska,United States"
"Dillingham,Dillingham,Alaska,United States"
"Haines,Haines,Alaska,United States"
"Juneau,Juneau,Alaska,United States"
"Nome,Nome,Alaska,United States"
"Sitka,Sitka,Alaska,United States"
"Yakutat,Yakutat,Alaska,United States"
"Abbeville,Alabama,United States"
"Auburn University,Lee County,Alabama,United States"
"Adona,Arkansas,United States"
"Arkansas State University,Craighead County,Arkansas,United States"
"Ajo,Arizona,United States"
"Acton,California,United States"
"Big Sur,Monterey County,California,United States"
"Brentwood,Contra Costa County,California,United States"
"Columbia,Tuolumne County,California,United States"
"Cypress,Orange County,California,United States"
"Live Oak,Sutter County,California,United States"
"Maxwell,Colusa County,California,United States"
"Mission Hills,Los Angeles County,California,United States"
"Mountain View,Santa Clara County,California,United States"
"Oak View,Ventura County,California,United States"
"Squaw Valley,Placer,California,United States"
"Orange,Orange,California,United States"
"San Carlos,San Mateo County,California,United States"
"Squaw Valley,Fresno,California,United States"
"Stockton,San Joaquin County,California,United States"
"Twin Peaks,San Bernardino County,California,United States"
"Valley Center,San Diego County,California,United States"
